listing_price,full_address,zip_code,county,municipality,bedrooms,bathrooms,sqft,property_type,listing_url,scrape_timestamp,lot_size,year_built,days_on_market,hoa_fees,source,price_per_sqft
284400.0,"100 Oak St, Hammonton, NJ 08401",08401,Atlantic,Hammonton,1.0,2.4502707174838743,1429.0,Condo/Co-op,https://synthetic.local/listing/50d7010211,2026-06-05T18:29:29,,1959.0,38,205.0,synthetic,199.02029391182646
313700.0,"137 Maple Ave, Atlantic City, NJ 08234",08234,Atlantic,Atlantic City,4.0,2.8740074738016363,1441.0,Single Family,https://synthetic.local/listing/fbab740b87,2026-06-07T16:45:29,10344.0,1951.0,22,,synthetic,217.69604441360167
575600.0,"174 Cedar Rd, Atlantic City, NJ 08232",08232,Atlantic,Atlantic City,1.0,2.319385511332009,1228.0,Condo/Co-op,https://synthetic.local/listing/416fc2aa41,2026-06-10T05:33:29,,2002.0,22,465.0,synthetic,468.72964169381106
351100.0,"211 Pine Ln, Atlantic City, NJ 08401",08401,Atlantic,Atlantic City,2.0,1.8404150274470084,2423.0,Single Family,https://synthetic.local/listing/4d56f79241,2026-06-14T21:26:29,12216.0,1988.0,12,,synthetic,144.90301279405696
247800.0,"248 Elm Ct, Pleasantville, NJ 08234",08234,Atlantic,Pleasantville,3.0,2.7312955189519874,2410.0,Single Family,https://synthetic.local/listing/aa99834dee,2026-06-15T14:29:29,1500.0,1967.0,52,,synthetic,102.82157676348548
451000.0,"285 Birch Blvd, Egg Harbor Township, NJ 08232",08232,Atlantic,Egg Harbor Township,3.0,2.968977865087423,2462.0,Single Family,https://synthetic.local/listing/27b57cb71a,2026-06-06T00:03:29,12467.0,1966.0,32,,synthetic,183.18440292445166
244100.0,"322 Willow Dr, Galloway, NJ 08232",08232,Atlantic,Galloway,,2.414291212440661,950.0,Condo/Co-op,https://synthetic.local/listing/da041be11e,2026-06-06T22:59:29,,1997.0,60,494.0,synthetic,256.94736842105266
270200.0,"359 Lake Way, Hammonton, NJ 08232",08232,Atlantic,Hammonton,2.0,2.50999529498215,2312.0,Single Family,https://synthetic.local/listing/b05d214afd,2026-06-10T05:54:29,10733.0,1991.0,78,,synthetic,116.86851211072664
225500.0,"396 Park Pl, Egg Harbor Township, NJ 08401",08401,Atlantic,Egg Harbor Township,3.0,1.9567125667839635,1549.0,Townhouse,https://synthetic.local/listing/071235a85d,2026-06-06T14:38:29,3539.0,1994.0,6,339.0,synthetic,145.57779212395093
295100.0,"433 River St, Hammonton, NJ 08037",08037,Atlantic,Hammonton,2.0,1.6435100265819234,594.0,Condo/Co-op,https://synthetic.local/listing/f4bd2c391b,2026-06-12T10:17:29,,1996.0,13,321.0,synthetic,496.8013468013468
247800.0,"470 Forest Ave, Atlantic City, NJ 08037",08037,Atlantic,Atlantic City,3.0,3.5873500601923496,2543.0,Single Family,https://synthetic.local/listing/451945fc1e,2026-06-14T14:11:29,10284.0,2011.0,3,,synthetic,97.44396382225717
136400.0,"507 Hill Rd, Hammonton, NJ 08401",08401,Atlantic,Hammonton,2.0,2.7508110779601562,2545.0,Single Family,https://synthetic.local/listing/8c683c2c33,2026-06-03T07:01:29,18484.0,2024.0,1,71.0,synthetic,53.59528487229863
298800.0,"544 Spring Ln, Hammonton, NJ 08232",08232,Atlantic,Hammonton,3.0,2.5942291404672067,1637.0,Townhouse,https://synthetic.local/listing/de977ab6fb,2026-06-13T09:39:29,1671.0,1974.0,34,192.0,synthetic,182.52901649358583
343900.0,"581 Highland Ct, Pleasantville, NJ 08205",08205,Atlantic,Pleasantville,2.0,3.7770818394610988,1371.0,Townhouse,https://synthetic.local/listing/2dbc991aaa,2026-06-16T04:31:29,3171.0,1986.0,6,362.0,synthetic,250.83880379285193
539500.0,"618 Main Blvd, Atlantic City, NJ 08205",08205,Atlantic,Atlantic City,2.0,1.4776499405443044,2112.0,Single Family,https://synthetic.local/listing/d4dca9f588,2026-06-11T09:25:29,16395.0,1978.0,49,173.0,synthetic,255.44507575757575
574200.0,"655 Washington Dr, Hammonton, NJ 08232",08232,Atlantic,Hammonton,2.0,1.4054726406034679,3073.0,Single Family,https://synthetic.local/listing/c158911544,2026-06-13T00:54:29,17118.0,1970.0,72,,synthetic,186.85323787829483
140900.0,"692 Lincoln Way, Atlantic City, NJ 08401",08401,Atlantic,Atlantic City,3.0,2.36924568118039,2219.0,Single Family,https://synthetic.local/listing/c926746509,2026-06-16T08:39:29,15537.0,1977.0,60,,synthetic,63.497070752591256
328400.0,"729 Madison Pl, Atlantic City, NJ 08037",08037,Atlantic,Atlantic City,0.0,,931.0,Condo/Co-op,https://synthetic.local/listing/87033b5a15,2026-06-06T16:43:29,,1989.0,52,550.0,synthetic,352.7389903329753
231400.0,"766 Jefferson St, Galloway, NJ 08401",08401,Atlantic,Galloway,3.0,,1736.0,Townhouse,https://synthetic.local/listing/77d3d40435,2026-06-12T16:21:29,2683.0,2024.0,1,475.0,synthetic,133.29493087557603
501600.0,"803 Garden Ave, Egg Harbor Township, NJ 08037",08037,Atlantic,Egg Harbor Township,2.0,1.0,1894.0,Single Family,https://synthetic.local/listing/2706e9bf48,2026-06-05T02:24:29,3188.0,1961.0,35,,synthetic,264.8363252375924
638900.0,"840 Oak Rd, Hammonton, NJ 08234",08234,Atlantic,Hammonton,2.0,3.9695308226570516,3888.0,Single Family,https://synthetic.local/listing/24cab71c47,2026-06-08T15:05:29,2642.0,1965.0,41,,synthetic,164.3261316872428
320800.0,"877 Maple Ln, Pleasantville, NJ 08401",08401,Atlantic,Pleasantville,0.0,1.8570957536152009,1007.0,Condo/Co-op,https://synthetic.local/listing/fa35d111d3,2026-06-14T13:29:29,,1999.0,102,317.0,synthetic,318.5700099304866
311300.0,"914 Cedar Ct, Egg Harbor Township, NJ 08232",08232,Atlantic,Egg Harbor Township,1.0,2.189896557003985,1066.0,Condo/Co-op,https://synthetic.local/listing/1616a0174c,2026-06-15T05:14:29,,2024.0,33,636.0,synthetic,292.02626641651034
355600.0,"951 Pine Blvd, Hammonton, NJ 08205",08205,Atlantic,Hammonton,3.0,1.1043312104206457,2603.0,Single Family,https://synthetic.local/listing/c417c1b7b9,2026-06-15T23:38:29,10772.0,1947.0,5,,synthetic,136.61160199769498
25200.0,"988 Elm Dr, Egg Harbor Township, NJ 08232",08232,Atlantic,Egg Harbor Township,0.0,0.0,,Land,https://synthetic.local/listing/d9264fd5c6,2026-06-04T16:57:29,193561.0,,14,,synthetic,
266200.0,"1025 Birch Way, Egg Harbor Township, NJ 08401",08401,Atlantic,Egg Harbor Township,2.0,3.036410128498511,563.0,Condo/Co-op,https://synthetic.local/listing/c2528613a5,2026-06-05T22:16:29,,2010.0,33,351.0,synthetic,472.8241563055062
243200.0,"1062 Willow Pl, Galloway, NJ 08037",08037,Atlantic,Galloway,3.0,3.546360715700675,1876.0,Townhouse,https://synthetic.local/listing/3bcb549d0e,2026-06-12T02:46:29,3162.0,1995.0,1,258.0,synthetic,129.63752665245204
200200.0,"1099 Lake St, Pleasantville, NJ 08234",08234,Atlantic,Pleasantville,4.0,3.100695190985008,3183.0,Single Family,https://synthetic.local/listing/21eb9f3ffe,2026-06-15T10:49:29,12154.0,1935.0,50,,synthetic,62.8966383914546
335100.0,"1136 Park Ave, Egg Harbor Township, NJ 08037",08037,Atlantic,Egg Harbor Township,2.0,2.0973158335620514,1825.0,Townhouse,https://synthetic.local/listing/298091b6af,2026-06-13T03:57:29,3424.0,2009.0,23,50.0,synthetic,183.6164383561644
222700.0,"1173 River Rd, Galloway, NJ 08205",08205,Atlantic,Galloway,2.0,1.0510433603276348,1617.0,Condo/Co-op,https://synthetic.local/listing/4b2a56d621,2026-06-05T13:54:29,,2001.0,18,527.0,synthetic,137.72418058132345
578800.0,"1210 Forest Ln, Egg Harbor Township, NJ 08234",08234,Atlantic,Egg Harbor Township,3.0,2.377981974038113,2249.0,Single Family,https://synthetic.local/listing/d54696d417,2026-06-11T14:43:29,13499.0,1948.0,23,,synthetic,257.3588261449533
253200.0,"1247 Hill Ct, Hammonton, NJ 08232",08232,Atlantic,Hammonton,3.0,,1395.0,Condo/Co-op,https://synthetic.local/listing/d06b47e2be,2026-06-06T14:18:29,,2004.0,19,749.0,synthetic,181.50537634408602
299600.0,"1284 Spring Blvd, Pleasantville, NJ 08205",08205,Atlantic,Pleasantville,0.0,1.0392332377286877,822.0,Condo/Co-op,https://synthetic.local/listing/e80db63346,2026-06-05T03:45:29,,2002.0,49,479.0,synthetic,364.47688564476886
